HULC,miR-200a-3p miR-6825-5p miR-6845-5p miR-6886-3p miR-203,28,
MALAT1,miR-146b-5p miR-216b,28,
MEG3,miR-664,28,
SNH12,miR-199a-5p,28,miR-199a-5p
SNHG6-003,miR-26a miR-26b,28,miR-26a miR-26b
TP73-AS1,miR-200a,28,
TUSC7,miR-10a,28,
UCA1,miR-203 miR-216b,28,
Unigene56159,miR-140-5p,28,miR-140-5p
XIST,miR-181a miR-139-5p miR-92b,28,
ZFAS1,miR-150-5p,28,miR-150-5p
HCAL,miR-15a miR-196a miR-196b,28,miR-15a miR-196a miR-196b
LINC00657,miR-106a-5p,28,miR-106a-5p
Linc00176,miR-9 miR-185,28,miR-9 miR-185
ASLNC02525,miR-489-3p,28,miR-489-3p 
circMTO1,miR-9,28,miR-9
MALAT1,miR-204,31,
MALAT1,miR-200a miR-200b miR-200c miR-22-3p,32,
HULC,miR-372 miR-107,35,
HOTAIR,miR-326,36,
MALAT1,miR-204,36,
ROR,miR-145,36,
hsa_circ_0012673,miR-22,36,miR-22
hsa_circ_0013958,miR-134,36,miR-134
CCAT1,miR-218,37,
MRAK081523,let-7i-5p,37,let-7i-5p 
MRAK088388,miR-29b-3p,37,miR-29b-3p
NEAT1,miR-98-5p,37,
RMRP,miR-206,37,
MALAT1,miR-224-5p,39,
H19,miR-106a-5p,39,
MALAT1,miR-183,40,
MHENCR,miR-425 miR-489,40,miR-425 miR-489
UCA1,miR-507,40,
EWSAT1,miR-326-5p miR-330-5p,43,miR-326-5p miR-330-5p
H19,miR-630,43,
LOC100129148,miR-539-5p,43,miR-539-5p
MALAT1,miR-25 miR-1,43,
NEAT1,miR-204,43,
XIST,miR-34a-5p,43,
PCAT7,miR-134-5p,43,miR-134-5p
LINC00858,miR-422a,44,miR-422a
NEAT1,miR-377-3p,44,
SNHG1,miR-101-3p,44,
UCA1,miR-193a-3p,44,
XIST,miR-449a miR-103a miR-137,44,
SNHG7,miR-193b,44,miR-193b
hsa_circ_0043256,miR-1252,44,miR-1252
linc00673,miR-150-5p,44,miR-1231 miR-150-5p
XIST,miR-449a,44,
FTH1P3,miR-224-5p,45,miR-224-5p
CircDOCK1,miR?196a?5p,45,miR?196a?5p 
UCA1,miR-184,45,
circRNA_100290,miR-29b,45,miR-29b
H19,miR-200a miR-200b miR-200c miR-200s,46,
LINC00161,miR-645,46,miR-645
MALAT1,miR-142-3p miR-129-5p,46,
PVT1,miR-195 miR-497,46,
TUG1,miR-335-5p miR-9-5p,46,
XIST,miR-320b miR-21-5p,46,
ZEB1-AS1,miR-200s,46,miR-200s
hsa_circ_0001564,miR-29c-3p,46,miR-29c-3p
circ_0009910,miR-449a,46,miR-449a
circ-0016347,miR-214,46,miR-214
HOTAIR,miR-373,47,
NEAT1,miR-124-3p,47,
LINC00673,miR-1231,48,
